modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
Wi-Inf-M08-F01,App Entwicklung mit Android,5,,Kombinierte Prüfung,seminaristischer Unterricht
Wi-Inf-M11-F01,Unternehmensmodellierung,5,,Klausur,seminaristischer Unterricht
Wi-Inf-M15-F01,Aktuelle Fragen der Wirtschaftsinformatik,5,,Kombinierte Prüfung,Projektseminar, Action-learning
Wi-Inf-M18-F01,E-Business und digitale Geschäftsmodelle,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M35-F01,Projektmanagement,5,,Kombinierte Prüfung (undifferenziert),seminaristischer Unterricht
Wi-Inf-M13-F01,Informations- und Kommunikationsmanagement ,5,,Kombinierte Prüfung,Praktische Übung
Wi-Inf-M09-F02,Full-Stack Web Development,5,,Programmentwurf,Übung am PC
Wi-Inf-M19-F02,Introduction to Data Analytics,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M33-F01,English 2- English for Information Technology Part 2 ,3,,Leistungstest (undifferenziert),Praktische Übung
Wi-Inf-M03-F01,Betriebliche Informationssysteme,5,,Kombinierte Prüfung,seminaristischer Unterricht
Wi-Inf-M06-F01,Objektorientierte Programmierung II ,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M01-F01,Einführung in das Studium der Wirtschaftsinformatik ,1,,Leistungstest (undifferenziert),Projektseminar, Action-learning
Wi-Inf-M32-F01,English 1- English for Information Technology Part 1 ,3,,Leistungstest (undifferenziert),Praktische Übung
Wi-Inf-M27-F01,Sozialwissenschaftliche Aspekte der Informations- und Wissensgesellschaft,5,,Kombinierte Prüfung,seminaristischer Unterricht
Wi-Inf-M05-F01,Objektorientierte Programmierung I ,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M02-F01,Grundlagen der Wirtschaftsinformatik ,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M20-F01,Optimierung und Simulation ,5,,Kombinierte Prüfung,Projektseminar, Action-learning
BA-Eco-M43-F01,Praxisseminar,1,,Referat (undifferenziert),Projektseminar, Action-learning
BA-Eco-M35-F01,Statistik II ,5,,Klausur,seminaristischer Unterricht
BA-Eco-M34-F01,Statistik I,5,,Klausur,seminaristischer Unterricht
BA-Eco-M33-F01,Wirtschaftsmathematik,5,,Klausur,Seminar
